NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:9.16
Barycenter M:6.54
Barycenter H:9.7
H[km]	Mag	Io	PDF
9.0444	6.7797	9.3737	0.000265
9.4980	6.7797	9.3737	0.000266
9.9744	6.7797	9.3737	0.009197
10.4747	6.7797	9.3737	0.014940
11.0000	6.7797	9.3737	0.005511
6.1145	6.8814	9.3737	0.000223
6.4211	6.8814	9.3737	0.000235
6.7432	6.8814	9.3737	0.000179
7.0814	6.8814	9.3737	0.000108
10.4747	6.8814	9.3737	0.002094
11.0000	6.8814	9.3737	0.002731
6.4211	6.9831	9.3737	0.000024
6.7432	6.9831	9.3737	0.000066
7.0814	6.9831	9.3737	0.000168
7.4365	6.9831	9.3737	0.000302
7.8095	6.9831	9.3737	0.000091
8.2012	6.9831	9.3737	0.000024
7.4365	7.0847	9.3737	0.000023
7.8095	7.0847	9.3737	0.000028
8.2012	7.0847	9.3737	0.000034
6.1145	6.0678	9.4747	0.000022
6.1145	6.1695	9.4747	0.000621
